id,nama_lokasi,alamat,fixed_latitude,fixed_longitude,jenis,new_latitude,new_longitude
1,Taman Gajah,"Bandar Lampung, Lampung",-5.4216519,105.2598901,1,-5.4216519,105.2598901
2,Puncak Mas,"Bandar Lampung, Lampung",-5.4206317,105.2281133,1,-5.4206317,105.2281133
3,Pasar Bambu Kuning,"Bandar Lampung, Lampung",-5.4104383,105.255797,1,-5.4104383,105.255797
4,Bukit Mas,"Bandar Lampung, Lampung",-5.4562179,105.2483994,1,-5.4562179,105.2483994
5,Taman Kupu-kupu,"Bandar Lampung, Lampung",-5.420489,105.1864568,1,-5.420489,105.1864568
6,PKOR Way Halim,"Bandar Lampung, Lampung",-5.3765468,105.2792723,1,-5.3765468,105.2792723
7,Menara Siger,"Lampung Selatan, Lampung",-5.8653476,105.7497984,1,-5.8653476,105.7497984
8,Pulau Sebesi,"Lampung Selatan, Lampung",-5.9461645,105.4900172,1,-5.9461645,105.4900172
9,Gunung Rajabasa,"Lampung Selatan, Lampung",-5.7815291,105.6273999,1,-5.7815291,105.6273999
10,Pulau Sebuku,"Lampung Selatan, Lampung",-5.8743286,105.5180118,1,-5.8743286,105.5180118
11,Pantai Mutun,"Pesawaran, Lampung",-5.0,105.0,1,-5.0,105.0
12,Pulau Pahawang,"Pesawaran, Lampung",-5.6757839,105.2212726,1,-5.6757839,105.2212726
13,Pulau Kelagian,"Pesawaran, Lampung",-5.629375,105.2217722,1,-5.629375,105.2217722
14,Pulau Tegal,"Pesawaran, Lampung",-5.5674104,105.2739979,1,-5.5674104,105.2739979
15,Taman Nasional Way Kambas,"Lampung Timur, Lampung",-5.0,105.0,1,-5.0,105.0
16,Gunung Tanggamus,"Tanggamus, Lampung",-5.416667,104.7,1,-5.416667,104.7
17,Danau Ranau,"Lampung Barat, Lampung",-5.111704,104.3057867,1,-5.111704,104.3057867
18,Gunung Pesagi,"Lampung Barat, Lampung",-4.926663,104.1328339,1,-4.926663,104.1328339
19,Museum Tulang Bawang,"Tulang Bawang, Lampung",-4.4821973,105.2640877,1,-4.4821973,105.2640877
20,Pulau Pisang,"Pesisir Barat, Lampung",-5.3669442,104.1866417,1,-5.3669442,104.1866417
21,Taman Merdeka,"Metro, Lampung",-5.1147324,105.3083335,1,-5.1147324,105.3083335
22,Dam Raman,"Metro, Lampung",-5.0620602,105.3043837,1,-5.0620602,105.3043837
23,36557,"Lampung, Lampung",-5.4460713,105.2643742,1,-5.4460713,105.2643742
24,Bukit Barisan,"Lampung, Lampung",-5.401174,105.2032095,1,-5.401174,105.2032095
25,Pulau Sumatra,"Lampung, Lampung",-5.9461645,105.4900172,1,-5.9461645,105.4900172
26,Pulau,"Lampung, Lampung",-5.9461645,105.4900172,1,-5.9461645,105.4900172
27,Gunung Seminung,"Lampung, Lampung",-5.4460713,105.2643742,1,-5.4460713,105.2643742
28,Gunung Sekincau,"Lampung, Lampung",-5.1069,104.31467,1,-5.1069,104.31467
29,Gunung Ratai,"Lampung, Lampung",-5.5132924,105.0951235,1,-5.5132924,105.0951235
30,Gunung Pesawaran,"Pesawaran, Lampung",-5.5,105.083333,1,-5.5,105.083333
31,"Pulau Panggung, Tanggamus","Tanggamus, Lampung",-5.2860222,104.7209851,1,-5.2860222,104.7209851
32,Gunung Sugih,"Lampung, Lampung",-4.9735187,105.2188707,1,-4.9735187,105.2188707
33,Pulau Jawa,"Lampung, Lampung",-5.7459461,105.1743379,1,-5.7459461,105.1743379
34,Gunung,"Lampung, Lampung",-5.4093601,105.2666251,1,-5.4093601,105.2666251
35,Gunung Terang,"Lampung, Lampung",-5.4871954,104.8744407,1,-5.4871954,104.8744407
36,Taman Agung,"Lampung, Lampung",-5.68053,105.5658422,1,-5.68053,105.5658422
