id,nama_lokasi,alamat,latitude,longitude,jenis,image_filename
1,Taman Gajah,"Bandar Lampung, Lampung",-5.421652,105.25989,7,img_1_Taman-Gajah.jpeg
2,Puncak Mas,"Bandar Lampung, Lampung",-5.420632,105.228113,1,img_2_Puncak-Mas.jpg
3,Pasar Bambu Kuning,"Bandar Lampung, Lampung",-5.410438,105.255797,6,img_3_Pasar-Bambu-Kuning.jpg
4,Bukit Mas,"Bandar Lampung, Lampung",-5.456218,105.248399,1,img_4_Bukit-Mas.jpg
5,Taman Kupu-kupu,"Bandar Lampung, Lampung",-5.420489,105.186457,7,img_5_Taman-Kupu-kupu.jpg
6,PKOR Way Halim,"Bandar Lampung, Lampung",-5.376547,105.279272,7,img_6_PKOR-Way-Halim.jpeg
7,Menara Siger,"Lampung Selatan, Lampung",-5.865348,105.749798,1,img_7_Menara-Siger.jpeg
8,Pulau Sebesi,"Lampung Selatan, Lampung",-5.946165,105.490017,1,img_8_Pulau-Sebesi.jpeg
9,Gunung Rajabasa,"Lampung Selatan, Lampung",-5.781529,105.6274,1,img_9_Gunung-Rajabasa.jpg
10,Pulau Sebuku,"Lampung Selatan, Lampung",-5.874329,105.518012,1,img_10_Pulau-Sebuku.JPG
11,Pantai Mutun,"Pesawaran, Lampung",-5.509558,105.256802,1,img_11_Pantai-Mutun.jpg
12,Pulau Pahawang,"Pesawaran, Lampung",-5.675784,105.221273,1,img_12_Pulau-Pahawang.jpg
13,Pulau Kelagian,"Pesawaran, Lampung",-5.629375,105.221772,1,img_13_Pulau-Kelagian.jpg
14,Pulau Tegal,"Pesawaran, Lampung",-5.56741,105.273998,1,img_14_Pulau-Tegal.jpg
15,Taman Nasional Way Kambas,"Lampung Timur, Lampung",-4.937369,105.72834,3,img_15_Taman-Nasional-Way-Kambas.jpg
16,Gunung Tanggamus,"Tanggamus, Lampung",-5.416667,104.7,1,img_16_Gunung-Tanggamus.jpg
17,Danau Ranau,"Lampung Barat, Lampung",-4.885844,103.90331,2,img_17_Danau-Ranau.jpg
18,Gunung Pesagi,"Lampung Barat, Lampung",-4.926663,104.132834,1,img_18_Gunung-Pesagi.jpg
19,Museum Tulang Bawang,"Tulang Bawang, Lampung",-4.482197,105.264088,4,img_19_Museum-Tulang-Bawang.JPG
20,Pulau Pisang,"Pesisir Barat, Lampung",-5.120496,103.84578,1,img_20_Pulau-Pisang.jpeg
21,Taman Merdeka,"Metro, Lampung",-5.114732,105.308333,7,img_21_Taman-Merdeka.jpg
22,Dam Raman,"Metro, Lampung",-5.06206,105.304384,2,img_22_Dam-Raman.jpg
23,Bukit Barisan,"Lampung, Lampung",-5.247257,104.149891,1,img_23_Bukit-Barisan.jpg
24,Pulau Sumatra,"Lampung, Lampung",-5.946165,105.490017,1,img_24_Pulau-Sumatra.jpeg
25,Pulau,"Lampung, Lampung",-5.946165,105.490017,1,img_25_Pulau.jpg
26,Gunung Seminung,"Lampung, Lampung",-4.91206,103.963161,1,img_26_Gunung-Seminung.jpg
27,Gunung Sekincau,"Lampung, Lampung",-5.083333,104.3,1,img_27_Gunung-Sekincau.jpg
28,Gunung Ratai,"Lampung, Lampung",-5.513292,105.095123,1,img_28_Gunung-Ratai.jpg
29,Gunung Pesawaran,"Pesawaran, Lampung",-5.5,105.083333,1,img_29_Gunung-Pesawaran.jpg
30,"Pulau Panggung, Tanggamus","Tanggamus, Lampung",-5.286022,104.720985,1,img_30_Pulau-Panggung-Tanggamus.jpeg
31,Gunung,"Lampung, Lampung",-5.454849,105.256695,1,img_31_Gunung.jpg
32,Gunung Terang,"Lampung, Lampung",-5.487195,104.874441,7,img_32_Gunung-Terang.jpg
33,Taman Agung,"Lampung, Lampung",-5.68053,105.565842,7,img_33_Taman-Agung.jpg
34,Taman Sari,"Lampung, Lampung",-5.71213,105.760147,7,img_34_Taman-Sari.jpeg
35,Pulau Jaya,"Lampung, Lampung",-5.562097,105.643746,1,img_35_Pulau-Jaya.jpg
36,Pulau Tengah,"Lampung, Lampung",-5.590852,105.693041,1,img_36_Pulau-Tengah.jpg
37,Taman Baru,"Lampung, Lampung",-5.737351,105.662638,7,img_37_Taman-Baru.jpg
38,Tejang Pulau Sebesi,"Lampung, Lampung",-5.93735,105.509428,1,img_38_Tejang-Pulau-Sebesi.jpeg
39,Pulau Legundi,"Lampung, Lampung",-5.814291,105.292999,1,img_39_Pulau-Legundi.jpg
