id,nama_lokasi,alamat,latitude,longitude,jenis
1,Taman Gajah,"Bandar Lampung, Lampung",-5.421652,105.25989,1
2,Puncak Mas,"Bandar Lampung, Lampung",-5.420632,105.228113,1
3,Pasar Bambu Kuning,"Bandar Lampung, Lampung",-5.410438,105.255797,1
4,Bukit Mas,"Bandar Lampung, Lampung",-5.456218,105.248399,1
5,Taman Kupu-kupu,"Bandar Lampung, Lampung",-5.420489,105.186457,1
6,PKOR Way Halim,"Bandar Lampung, Lampung",-5.376547,105.279272,1
7,Menara Siger,"Lampung Selatan, Lampung",-5.865348,105.749798,1
8,Pulau Sebesi,"Lampung Selatan, Lampung",-5.946165,105.490017,1
9,Gunung Rajabasa,"Lampung Selatan, Lampung",-5.781529,105.6274,1
10,Pulau Sebuku,"Lampung Selatan, Lampung",-5.874329,105.518012,1
11,Pantai Mutun,"Pesawaran, Lampung",-5.509558,105.256802,1
12,Pulau Pahawang,"Pesawaran, Lampung",-5.675784,105.221273,1
13,Pulau Kelagian,"Pesawaran, Lampung",-5.629375,105.221772,1
14,Pulau Tegal,"Pesawaran, Lampung",-5.56741,105.273998,1
15,Taman Nasional Way Kambas,"Lampung Timur, Lampung",-4.937369,105.72834,1
16,Gunung Tanggamus,"Tanggamus, Lampung",-5.416667,104.7,1
17,Danau Ranau,"Lampung Barat, Lampung",-4.885844,103.90331,1
18,Gunung Pesagi,"Lampung Barat, Lampung",-4.926663,104.132834,1
19,Museum Tulang Bawang,"Tulang Bawang, Lampung",-4.482197,105.264088,1
20,Pulau Pisang,"Pesisir Barat, Lampung",-5.120496,103.84578,1
21,Taman Merdeka,"Metro, Lampung",-5.114732,105.308333,1
22,Dam Raman,"Metro, Lampung",-5.06206,105.304384,1
23,36557,"Lampung, Lampung",-5.346973,104.669105,1
24,Bukit Barisan,"Lampung, Lampung",-5.247257,104.149891,1
25,Pulau Sumatra,"Lampung, Lampung",-5.946165,105.490017,1
26,Pulau,"Lampung, Lampung",-5.946165,105.490017,1
27,Gunung Seminung,"Lampung, Lampung",-4.91206,103.963161,1
28,Gunung Sekincau,"Lampung, Lampung",-5.083333,104.3,1
29,Gunung Ratai,"Lampung, Lampung",-5.513292,105.095123,1
30,Gunung Pesawaran,"Pesawaran, Lampung",-5.5,105.083333,1
31,"Pulau Panggung, Tanggamus","Tanggamus, Lampung",-5.286022,104.720985,1
32,Gunung Sugih,"Lampung, Lampung",-4.973519,105.218871,1
33,Pulau Jawa,"Lampung, Lampung",-5.745946,105.174338,1
34,Gunung,"Lampung, Lampung",-5.454849,105.256695,1
35,Gunung Terang,"Lampung, Lampung",-5.487195,104.874441,1
36,Taman Agung,"Lampung, Lampung",-5.68053,105.565842,1
37,Taman Sari,"Lampung, Lampung",-5.71213,105.760147,1
38,Pulau Jaya,"Lampung, Lampung",-5.562097,105.643746,1
39,Pulau Tengah,"Lampung, Lampung",-5.590852,105.693041,1
40,Taman Baru,"Lampung, Lampung",-5.737351,105.662638,1
41,Tejang Pulau Sebesi,"Lampung, Lampung",-5.93735,105.509428,1
42,Campang Tiga,"Lampung, Lampung",-5.565761,105.472521,1
43,Teluk Lampung,"Lampung, Lampung",-5.455047,105.256008,1
44,Pulau Legundi,"Lampung, Lampung",-5.814291,105.292999,1
