nama,alamat,lat,long,image_filename
Bakso Setan - Pajajaran,"Bakso Setan - Pajajaran, Jalan Danau Toba, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.391535,105.266314,img_0_Bakso-Setan-Pajajaran.jpg
Pondok Hijau,Pangeran Antasari,-5.408031,105.273147,img_1_Pondok-Hijau.jpg
Pizza Hut,Pangeran Antasari,-5.40677,105.274862,img_2_Pizza-Hut.jpg
Tian Tian Dimsum,Pangeran Antasari,-5.401134,105.270521,img_3_Tian-Tian-Dimsum.jpg
Warung Gamol,"Warung Gamol, Jalan Sisingamangaraja, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35151, Indonesia",-5.400691,105.244397,img_4_Warung-Gamol.jpg
Chiclin,Jalan Imam Bonjol,-5.399702,105.244511,img_5_Chiclin.jpg
RM Embun Pagi,Jalan Imam Bonjol,-5.403987,105.250964,img_6_RM-Embun-Pagi.jpg
Telur Gulung Abi,Jalan Imam Bonjol,-5.399403,105.243667,img_7_Telur-Gulung-Abi.jpg
Iga Bakar Gerabah,Diponegoro,-5.432119,105.262061,img_8_Iga-Bakar-Gerabah.jpg
Hanamaru Japanese,Diponegoro,-5.435481,105.263662,img_9_Hanamaru-Japanese.jpg
Moro Seneng,Diponegoro,-5.436268,105.263906,img_10_Moro-Seneng.jpg
HO Chicken,Diponegoro,-5.432975,105.262495,img_11_HO-Chicken.jpg
RM Uduk Toha,Diponegoro,-5.432724,105.261844,img_12_RM-Uduk-Toha.jpg
Pempek JK,Diponegoro,-5.433102,105.26212,img_13_Pempek-JK.jpg
RM Lele Terbang,Diponegoro,-5.437087,105.265317,img_14_RM-Lele-Terbang.jpg
Mie Ayam Budi,Dokter Susilo,-5.429282,105.265911,img_15_Mie-Ayam-Budi.jpg
RM Puti Minang,Diponegoro,-5.432986,105.261951,img_16_RM-Puti-Minang.jpg
Roots Hotpot Grill,Diponegoro,-5.432112,105.2616,img_17_Roots-Hotpot-Grill.jpg
Sambel Rumah,Dokter Susilo,-5.429435,105.270725,img_18_Sambel-Rumah.jpg
Pempek Cek Sofi2,Dokter Susilo,-5.429423,105.268298,img_19_Pempek-Cek-Sofi2.jpg
Marimo,"Marimo, Jalan Kyai Haji Ahmad Dahlan, Tanjung Gading, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.427149,105.271743,img_20_Marimo.jpg
