id,nama+AF8-lokasi,alamat,latitude,longitude
1,Taman Gajah,+ACI-Bandar Lampung, Lampung+ACI-,+AC0-5.4216519,105.259890136684
2,Puncak Mas,+ACI-Bandar Lampung, Lampung+ACI-,+AC0-5.4206317,105.2281133
3,Pasar Bambu Kuning,+ACI-Bandar Lampung, Lampung+ACI-,+AC0-5.4104383,105.255796996396
4,Bukit Mas,+ACI-Bandar Lampung, Lampung+ACI-,+AC0-5.4562179,105.248399371626
5,Taman Kupu+AC0-kupu,+ACI-Bandar Lampung, Lampung+ACI-,+AC0-5.420489,105.1864568
6,PKOR Way Halim,+ACI-Bandar Lampung, Lampung+ACI-,+AC0-5.3765468,105.27927225675
7,Menara Siger,+ACI-Lampung Selatan, Lampung+ACI-,+AC0-5.8653476,105.7497984
8,Pulau Sebesi,+ACI-Lampung Selatan, Lampung+ACI-,+AC0-5.94616455,105.490017167009
9,Gunung Rajabasa,+ACI-Lampung Selatan, Lampung+ACI-,+AC0-5.7815291,105.6273999
10,Pulau Sebuku,+ACI-Lampung Selatan, Lampung+ACI-,+AC0-5.8743286,105.51801179944
11,Pantai Mutun,+ACI-Pesawaran, Lampung+ACI-,+AC0-5.5095584,105.2568023
12,Pulau Pahawang,+ACI-Pesawaran, Lampung+ACI-,+AC0-5.67578385,105.221272625
13,Pulau Kelagian,+ACI-Pesawaran, Lampung+ACI-,+AC0-5.629375,105.221772217356
14,Pulau Tegal,+ACI-Pesawaran, Lampung+ACI-,+AC0-5.56741035,105.273997883495
15,Taman Nasional Way Kambas,+ACI-Lampung Timur, Lampung+ACI-,+AC0-4.9373689,105.728340324225
16,Gunung Tanggamus,+ACI-Tanggamus, Lampung+ACI-,+AC0-5.416667,104.7
17,Danau Ranau,+ACI-Lampung Barat, Lampung+ACI-,+AC0-4.88584445,103.903309976648
18,Gunung Pesagi,+ACI-Lampung Barat, Lampung+ACI-,+AC0-4.926663,104.1328339
19,Museum Tulang Bawang,+ACI-Tulang Bawang, Lampung+ACI-,+AC0-4.48219735,105.264087677489
20,Pulau Pisang,+ACI-Pesisir Barat, Lampung+ACI-,+AC0-5.120496,103.845780191696
21,Taman Merdeka,+ACI-Metro, Lampung+ACI-,+AC0-5.1147324,105.308333452953
22,Dam Raman,+ACI-Metro, Lampung+ACI-,+AC0-5.0620602,105.304383688846
23,+ACI-2.1.1
Gunung+ACI-,+ACI-Lampung, Lampung+ACI-,+AC0-5.3469731,104.669105
24,Bukit Barisan,+ACI-Lampung, Lampung+ACI-,+AC0-5.2472574,104.149891043564
25,Pulau Sumatra,+ACI-Lampung, Lampung+ACI-,+AC0-5.94616455,105.490017167009
26,Pulau,+ACI-Lampung, Lampung+ACI-,+AC0-5.94616455,105.490017167009
27,Gunung Seminung,+ACI-Lampung, Lampung+ACI-,+AC0-4.9120602,103.9631612
28,Gunung Sekincau,+ACI-Lampung, Lampung+ACI-,+AC0-5.083333,104.3
29,Gunung Ratai,+ACI-Lampung, Lampung+ACI-,+AC0-5.5132924,105.0951235
30,Gunung Pesawaran,+ACI-Pesawaran, Lampung+ACI-,+AC0-5.5,105.083333
